Date,Std Week,Rain,Evap,Max Temp,Min Temp,Wind Velocity,Solar Radiation,Bright Sunshine
11/20/2018,47,0,5.2,32.2,22.4,4.4,14.9,8.8
11/21/2018,47,0,3.6,31,17.5,2.1,11.5,2.3
11/22/2018,47,0,6,32.4,16.5,5.3,16.2,9
11/23/2018,47,0,5.9,31.8,18,4.9,15.7,8.8
11/24/2018,47,0,4.2,30.2,15,2.1,15,4.4
11/25/2018,47,0,5.6,31.2,14,2.7,15,9
11/26/2018,48,0,4.8,30.8,11,1.7,15.7,9.6
11/27/2018,48,0,5.2,30.8,10.5,2.5,16.3,9.7
11/28/2018,48,0,4.8,29.4,12,3.1,15.7,9.7
11/29/2018,48,0,4.7,29.2,12,2.8,15.5,9.2
11/30/2018,48,0,4.2,30,12.5,1.6,14.7,9
12/1/2018,48,0,4.8,30.8,12.6,2,15.4,9
12/2/2018,48,0,4.2,29.8,12.6,2.2,15,9.3
12/3/2018,49,0,4,28.8,14.2,2.3,14.1,8.4
12/4/2018,49,0,4,28.2,18,4.3,13.3,7.1
12/5/2018,49,0,4.4,28.8,20.8,4.1,10.6,3.2
12/6/2018,49,0,4.2,30,20.8,3.1,9.7,4.3
12/7/2018,49,0,4,31,19.4,1.9,9.7,3.9
12/8/2018,49,0,4.9,31.8,20.6,4,13.1,7.7
12/9/2018,49,0,4.7,30,20.4,5.9,10,4
12/10/2018,50,0,4,30.8,20,6.8,11.3,2.6
12/11/2018,50,0,3.9,30.4,18.4,4.2,10,1
12/12/2018,50,0,4.3,31.8,19.2,3.4,12.4,4.6
12/13/2018,50,0,4.2,30.8,17.8,6.5,11.5,4.4
12/14/2018,50,51.6,5.4,28.8,19.6,5.2,9.2,0.4
12/15/2018,50,0,3.8,23.4,18.6,3.5,3.6,0
12/16/2018,50,0,5.7,27.6,14.2,5.7,14.8,6.7
12/17/2018,51,0,5.2,28,17.4,4.7,14.3,7.1
12/18/2018,51,0.7,2.5,20.6,15.4,7.3,5.5,0
12/19/2018,51,0,1.4,19.2,15.2,3.1,4.1,0
12/20/2018,51,0,3,24.8,15.4,4.1,11.2,4.3
12/21/2018,51,0,3.1,25.6,13.8,1.8,11.1,4.6
12/22/2018,51,0,3.5,28.2,14,1.1,16.5,9.4
12/23/2018,51,0,3.4,29.4,16.6,2.1,15.6,7.9
12/24/2018,52,0,3.7,28.8,15.6,2.8,14.4,6.6
12/25/2018,52,0,3.6,29,14.6,1.6,15.4,7.3
12/26/2018,52,0,4.3,30.8,17.4,2.7,15.6,8.9
12/27/2018,52,0,4,31,17.6,2.9,13,6.2
12/28/2018,52,0,5.2,27.8,10.4,2.5,16.1,8.3
12/29/2018,52,0,5,26.2,7.2,1,18,10.1
12/30/2018,52,0,4.2,26.2,7.4,1.5,17.9,9.7
12/31/2018,52,0,4.7,26.4,6.4,2.1,17.1,9.1
1/1/2019,1,0,4.6,27,5.2,1,17.8,9.7
1/2/2019,1,0,5,28.6,6.2,2.1,18.3,10
1/3/2019,1,0,4,30,8.4,1.1,17.6,9.8
1/4/2019,1,0,4.3,30.4,9.6,0.5,17.8,10
1/5/2019,1,0,5,29.2,11.8,3.5,16.7,9
1/6/2019,1,0,5,29.8,11.2,2.5,17.2,9
1/7/2019,1,0,4.5,29,14.4,3.2,16.1,8.4
1/8/2019,2,0,4.3,29,12,0.7,15.3,8.5
1/9/2019,2,0,4,28,7.4,0.4,17,8.9
1/10/2019,2,0,3.9,28.8,7.6,0.5,17.2,9.3
1/11/2019,2,0,4.2,29,13.5,3,16.4,9.1
1/12/2019,2,0,4.1,30.6,16.4,4.8,16.2,8.5
1/13/2019,2,0,5.6,30,16.8,7.4,15.3,8.1
1/14/2019,2,0,5.5,29.8,12.8,3.7,16.4,8.7
1/15/2019,3,0,5.3,29.8,11.6,4.3,16.4,8.1
1/16/2019,3,0,5.1,29.8,12.6,1.2,16.3,7.9
1/17/2019,3,0,4.5,29.8,11,1.7,16.5,8.6
1/18/2019,3,0,4.7,31,11.2,0.5,17.5,9
1/19/2019,3,0,4.5,31,12.2,1.8,16.8,8.7
1/20/2019,3,0,5.1,29.6,10,2.8,16.6,8.1
1/21/2019,3,0,5.1,30.6,9.6,2.7,18.4,9.3
1/22/2019,4,0,6.6,31,14.6,6.1,18.7,9.1
1/23/2019,4,0,5.5,30.8,16.2,5,18.7,10.1
1/24/2019,4,0,5,30.4,16.2,4.7,16.3,7.8
1/25/2019,4,0,5.3,31,18.4,8.8,14.4,7
1/26/2019,4,0,5.9,31,21,9.1,15.7,7.4
1/27/2019,4,8.7,3.9,28,18.6,6.1,10.6,2.7
1/28/2019,4,0.2,2.5,21.4,17,3.4,2.6,0
1/29/2019,5,0,2.4,22.6,10.6,3.4,7.1,0.2
1/30/2019,5,0,4.1,25.2,7.2,3.2,18.7,9.2
1/31/2019,5,0,4.4,27.6,10.2,3.8,19.8,9.7
2/1/2019,5,0,4.8,28.2,17,9,18.7,9.3
2/2/2019,5,0,4.6,28.8,13.4,5.4,17.5,9.1
2/3/2019,5,0,5.4,29.2,15.8,68,18.4,8.8
2/4/2019,5,0,5.9,29.8,17.6,8.2,18,9.1
2/5/2019,6,0,6,29.8,15.6,7.6,18,9.3
2/6/2019,6,0,5.8,31.4,15.4,5.3,18.2,9.4
2/7/2019,6,0,6.8,31.8,18.2,8.4,17,8.5
2/8/2019,6,0,7,32.8,17.2,8.5,17.9,9
2/9/2019,6,0,7,29.4,14,5,17.6,8.7
2/10/2019,6,0,6.6,28,14,4.8,19.8,9.3
2/11/2019,6,0,6.4,31.2,20.4,7,17.7,8.6
2/12/2019,7,0,6,31.2,18.4,9.4,17.1,7.8
2/13/2019,7,0,6.2,30.6,16.4,7.6,18.5,9.4
2/14/2019,7,0,6.2,31.6,16.2,6.6,20.2,9.4
2/15/2019,7,0,7.2,33.8,19.4,8.4,19.5,9.2
2/16/2019,7,2.5,6.6,33.8,18.2,8.3,19.2,10.3
2/17/2019,7,0,6.2,32.8,18,4.2,19.5,9.8
2/18/2019,7,0,6.2,34.2,16.6,4.2,19.6,9.6
